"case_1","case_2","accused_in_common"
"Caso ERE/Cetro Aceitunas","Caso ERE/González Byass",1
"Caso ERE/Cetro Aceitunas","Caso ERE/Instaladora Moderna",1
"Caso ERE/Cetro Aceitunas","Caso ERE/Nexprom",1
"Caso ERE/Cetro Aceitunas","Caso ERE/Santana Motor",1
"Caso ERE/Cetro Aceitunas","Caso ERE/Surcolor",1
"Caso ERE/Cetro Aceitunas","Caso ERE/Ubago Group Mare",1
"Caso ERE/Cetro Aceitunas","Caso Umax",1
"Caso ERE/Egmasa","Caso ERE/González Byass",1
"Caso ERE/Egmasa","Caso ERE/Nexprom",2
"Caso ERE/Egmasa","Caso ERE/Ubago Group Mare",1
"Caso ERE/Egmasa","Caso Umax",2
"Caso ERE/Franja Pirítica","Caso ERE/Nexprom",2
"Caso ERE/Franja Pirítica","Caso Umax",2
"Caso ERE/González Byass","Caso ERE/Nexprom",1
"Caso ERE/González Byass","Caso ERE/Santana Motor",3
"Caso ERE/González Byass","Caso ERE/Surcolor",2
"Caso ERE/González Byass","Caso Umax",2
"Caso ERE/Instaladora Moderna","Caso ERE/Nexprom",2
"Caso ERE/Instaladora Moderna","Caso Umax",3
"Caso ERE/Nexprom","Caso ERE/Santana Motor",2
"Caso ERE/Nexprom","Caso ERE/Surcolor",2
"Caso ERE/Nexprom","Caso ERE/Ubago Group Mare",1
"Caso ERE/Nexprom","Caso Umax",2
"Caso ERE/Santana Motor","Caso ERE/Ubago Group Mare",2
"Caso ERE/Santana Motor","Caso Umax",3
"Caso ERE/Surcolor","Caso ERE/Ubago Group Mare",2
"Caso ERE/Surcolor","Caso Umax",3
"Caso ERE/Ubago Group Mare","Caso Umax",2
"Caso Camelot","Caso Mar Menor Golf Resort",1
"Caso Camelot","Caso Torre Pacheco",1
"Caso Mar Menor Golf Resort","Caso Torre Pacheco",1
"Caso Over Marketing","Caso Púnica/Financiación PP",1
"Caso Gürtel/Caja B PP Valencia","Caso Taula",1
"Caso Gürtel/Contratos Valencia","Caso Taula",1
"Caso Aller","Caso Hulla",2
"Caso Lezo/Blanqueo capitales","Caso Lezo/Inassa y Emissao",3
"Caso Erial","Caso Lezo/Blanqueo capitales",1
"Caso La Loma","Caso Trapur",1
"Caso Patos/Autoridad Portuaria Vigo","Caso Patos/Moraña",2
"Caso Villarejo/Iron","Caso Villarejo/Kitchen",2
"Caso Brugal","Caso Gürtel/Caja B PP Valencia",1
"Caso Inestur/Cilma","Caso Inestur/Minser",3
"Caso Asesorías","Caso Benagéber",1
"Caso Cerrú","Caso Plaza de Toros",1
"Caso Horas Extras","Caso Uniformes",2
"CASO INESTUR/BANIF","CASO INESTUR/COINT",1
"CASO INESTUR/BANIF","CASO INESTUR/IMET",1
"CASO INESTUR/COINT","CASO INESTUR/IMET",1
"Caso Gürtel/Arganda","Caso Gürtel/Ayto. de Jerez",3
"Caso Gürtel/Arganda","Caso Gürtel/Contratos Valencia",3
"Caso Gürtel/Arganda","Caso Gürtel/Fitur",3
"Caso Gürtel/Ayto. de Jerez","Caso Gürtel/Boadilla",4
"Caso Gürtel/Ayto. de Jerez","Caso Gürtel/Contratos Valencia",3
"Caso Gürtel/Ayto. de Jerez","Caso Gürtel/Fitur",3
"Caso Gürtel/Ayto. de Jerez","Caso Gürtel/Primera Época",4
"Caso Gürtel/Boadilla","Caso Gürtel/Contratos Valencia",3
"Caso Gürtel/Boadilla","Caso Gürtel/Fitur",3
"Caso Gürtel/Contratos Valencia","Caso Gürtel/Primera Época",3
